step	volume	average_movement_acceptance	average_volume_acceptance
0	2.251475	0.003895	0.000000
100	225.147474	0.395581	0.000000
200	225.147474	0.409593	0.000000
300	225.147474	0.422616	0.000000
400	223.681534	0.420698	0.090000
500	223.333453	0.409884	0.080000
600	223.118148	0.418023	0.040000
700	222.640574	0.420000	0.080000
800	222.208193	0.441860	0.090000
900	220.702046	0.415116	0.070000
1000	220.444851	0.398081	0.030000
1100	220.049834	0.406279	0.070000
1200	219.469657	0.408779	0.060000
1300	218.930178	0.406570	0.090000
1400	217.846953	0.399360	0.090000
1500	217.335838	0.401744	0.070000
1600	216.439915	0.402267	0.060000
1700	216.284452	0.410640	0.100000
1800	215.894923	0.382791	0.070000
1900	213.150482	0.390349	0.090000
2000	212.546852	0.382500	0.060000
2100	212.445249	0.375930	0.060000
2200	212.577988	0.390174	0.070000
2300	213.004595	0.393256	0.050000
2400	213.014396	0.380465	0.050000
2500	212.840475	0.369651	0.050000
2600	212.888005	0.381163	0.110000
2700	212.118941	0.380465	0.090000
2800	211.425175	0.374709	0.040000
2900	211.189546	0.373605	0.050000
3000	211.331230	0.379651	0.100000
3100	211.492172	0.381105	0.050000
3200	211.912928	0.393837	0.060000
3300	211.573258	0.382791	0.080000
3400	210.893950	0.383314	0.050000
3500	210.020296	0.379419	0.090000
3600	209.786463	0.351919	0.060000
3700	209.896668	0.360116	0.100000
3800	209.986162	0.355581	0.070000
3900	209.691361	0.368605	0.100000
4000	209.529498	0.363023	0.060000
4100	209.495709	0.360349	0.040000
4200	208.697741	0.344767	0.080000
4300	208.602867	0.341628	0.080000
4400	208.080306	0.355174	0.060000
4500	207.813315	0.359826	0.060000
4600	207.783677	0.355233	0.070000
4700	207.514337	0.367558	0.050000
4800	206.662475	0.354826	0.040000
4900	206.306890	0.348721	0.070000
5000	206.072219	0.349942	0.050000
5100	205.748458	0.354186	0.100000
5200	205.158258	0.344070	0.060000
5300	204.412504	0.329186	0.110000
5400	203.579866	0.317267	0.070000
5500	204.013296	0.338953	0.050000
5600	203.800344	0.323837	0.060000
5700	203.334517	0.320640	0.020000
5800	203.264444	0.339535	0.050000
5900	202.920734	0.312791	0.040000
6000	201.963905	0.316221	0.090000
6100	201.662564	0.327674	0.100000
6200	201.133827	0.311453	0.080000
6300	200.538678	0.313953	0.080000
6400	200.452813	0.302907	0.110000
6500	200.005600	0.318372	0.080000
6600	200.319135	0.341512	0.080000
6700	200.395758	0.314651	0.040000
6800	200.357410	0.311977	0.110000
6900	199.885470	0.298895	0.070000
7000	199.872988	0.306395	0.050000
7100	199.904523	0.316686	0.070000
7200	199.789965	0.315988	0.060000
7300	199.918648	0.316686	0.040000
7400	200.026897	0.325581	0.050000
7500	199.662699	0.321570	0.070000
7600	199.119782	0.322849	0.100000
7700	199.144253	0.298953	0.050000
7800	198.939246	0.299128	0.070000
7900	198.774315	0.317674	0.120000
8000	198.570208	0.319419	0.040000
8100	198.267807	0.315930	0.070000
8200	198.176877	0.301453	0.060000
8300	197.871731	0.310581	0.060000
8400	197.947379	0.301512	0.020000
8500	198.047118	0.288837	0.010000
8600	198.581707	0.312674	0.090000
8700	198.766779	0.320523	0.080000
8800	197.592494	0.317791	0.100000
8900	197.422827	0.302093	0.000000
9000	197.604756	0.296395	0.060000
9100	197.229745	0.298256	0.050000
9200	197.358170	0.303547	0.060000
9300	197.562276	0.299128	0.050000
9400	198.023279	0.306105	0.120000
9500	197.953322	0.293721	0.050000
9600	197.401938	0.305814	0.060000
9700	197.663554	0.319477	0.100000
9800	197.808056	0.312791	0.020000
9900	197.889593	0.307733	0.050000
10000	197.811937	0.314070	0.020000
10100	198.094859	0.311919	0.080000
10200	198.634701	0.305523	0.070000
10300	198.720469	0.304302	0.040000
10400	199.089730	0.303779	0.070000
10500	199.109643	0.300640	0.130000
10600	198.872233	0.302442	0.040000
10700	198.211665	0.297442	0.080000
10800	198.134391	0.302849	0.030000
10900	198.356202	0.312616	0.050000
11000	198.449398	0.310872	0.050000
11100	198.329278	0.313081	0.050000
11200	198.503988	0.296337	0.050000
11300	198.471222	0.306919	0.090000
11400	198.463844	0.325581	0.030000
11500	198.874664	0.313779	0.070000
11600	198.900258	0.294302	0.050000
11700	199.184510	0.319709	0.080000
11800	198.477759	0.314884	0.090000
11900	198.337146	0.316221	0.070000
12000	198.453245	0.323721	0.050000
12100	198.091703	0.304826	0.070000
12200	198.014792	0.308605	0.030000
12300	198.025903	0.304070	0.070000
12400	197.597070	0.317849	0.080000
12500	197.079828	0.309244	0.050000
12600	196.970221	0.281395	0.040000
12700	196.731584	0.280930	0.110000
12800	196.414554	0.276279	0.040000
12900	196.304786	0.279884	0.050000
13000	196.283553	0.278953	0.010000
13100	195.911538	0.286570	0.080000
13200	196.514325	0.302849	0.060000
13300	196.501224	0.303721	0.050000
13400	196.545127	0.317965	0.070000
13500	196.485667	0.304012	0.030000
13600	196.193095	0.315291	0.090000
13700	195.763722	0.307733	0.050000
13800	195.367726	0.290058	0.030000
13900	195.184183	0.291570	0.020000
14000	194.744268	0.280407	0.060000
14100	194.660031	0.288256	0.040000
14200	194.541926	0.278372	0.070000
14300	194.920041	0.283547	0.080000
14400	194.577350	0.265640	0.050000
14500	194.200485	0.274477	0.050000
14600	194.523328	0.276395	0.020000
14700	194.757332	0.290465	0.060000
14800	194.768331	0.294884	0.080000
14900	194.305936	0.283023	0.030000
15000	194.412720	0.282849	0.040000
